source_index,x,y,z,before_class,after_class,before_instance,after_instance,fusion_score,after_step05_type
1236136,6.059439503775655,-2.3487354469624,0.0276489156012176,4,3,0,87,0.6499999761581421,0
1236137,6.0597750968250805,-2.3457606410265193,0.027930285893729027,4,3,0,87,0.5,0
1236456,6.0609199458421585,-2.353824579831673,0.024269486417833552,4,3,0,87,0.6499999761581421,0
1236457,6.060230639538709,-2.3535293187356716,0.025125634296110068,4,3,0,87,0.6499999761581421,0
1236763,6.059231671527499,-2.35240394314506,0.026237166669580217,4,3,0,87,0.6499999761581421,0
1236764,6.059237956605226,-2.3516934486619467,0.02667501671741542,4,3,0,87,0.6499999761581421,0
1236765,6.05921297146702,-2.35106833460669,0.02695911204606042,4,3,0,87,0.6499999761581421,0
1236766,6.058619630728494,-2.3503715332367263,0.02698140613088216,4,3,0,87,0.6499999761581421,0
1236767,6.059180438868667,-2.344593213133714,0.027562968215930232,4,3,0,87,0.5,0
1236768,6.058883414985658,-2.3441103030695647,0.027347748089508718,4,3,0,87,0.5,0
1237055,6.059535277999804,-2.353458275680079,0.025149027840745873,4,3,0,87,0.6499999761581421,0
1237056,6.058331963875996,-2.3498753521602267,0.026978581623841313,4,3,0,87,0.6499999761581421,0
1237057,6.058228433350245,-2.3488483963304367,0.02707534138006766,4,3,0,87,0.6499999761581421,0
1237058,6.058280852555216,-2.3478551274088035,0.027159008810483373,4,3,0,87,0.5,0
1237059,6.058542144715475,-2.3468162720542227,0.027292728426238935,4,3,0,87,0.5,0
1237060,6.059089975517697,-2.345508261472628,0.027549760404687963,4,3,0,87,0.5,0
1237363,6.060114195844168,-2.3538052180544042,0.02447474664774251,4,3,0,87,0.6499999761581421,0
1237364,6.059248727690722,-2.3530651352573626,0.02573012229584836,4,3,0,87,0.6499999761581421,0
1237365,6.058450109803395,-2.3458180018501853,0.027195132151769823,4,3,0,87,0.5,0
1237366,6.058585000381904,-2.3437979865623166,0.02713807476424833,4,3,0,87,0.5,0
1237660,6.058270602989998,-2.352376749153711,0.025985289034349095,4,3,0,87,0.6499999761581421,0
1237661,6.058099729845652,-2.350816922574932,0.02664659519553541,4,3,0,87,0.6499999761581421,0
1237662,6.057902864690615,-2.346942819324702,0.026937439173098286,4,3,0,87,0.5,0
1237663,6.058335024161661,-2.344918231655994,0.027073373810517408,4,3,0,87,0.5,0
1237964,6.059172526227654,-2.3538894686485428,0.024261017797330503,4,3,0,87,0.6499999761581421,0
1237965,6.058230709605423,-2.3516819775853355,0.02634318337512751,4,3,0,87,0.6499999761581421,0
1237966,6.057856246377877,-2.349745369596775,0.02678524760566995,4,3,0,87,0.6499999761581421,0
1237967,6.057960626269988,-2.3486308870177703,0.026954161545276543,4,3,0,87,0.6499999761581421,0
1237968,6.057859645010032,-2.345448138631701,0.026830432104861038,4,3,0,87,0.5,0
1237969,6.057859699845498,-2.344966911983522,0.026796881968015385,4,3,0,87,0.5,0
1237970,6.05795607842648,-2.343998272711539,0.026775202881767844,4,3,0,87,0.5,0
1238291,6.058142182996429,-2.3528759298208537,0.025619271683422283,4,3,0,87,0.6499999761581421,0
